Image,Mask
E:\MedicalData\HVSMR2016\traindata/Image/0_0.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_0.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_1.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_1.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_10.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_10.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_100.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_100.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_101.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_101.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_102.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_102.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_103.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_103.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_104.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_104.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_105.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_105.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_106.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_106.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_107.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_107.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_108.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_108.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_109.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_109.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_11.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_11.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_110.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_110.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_111.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_111.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_112.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_112.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_113.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_113.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_114.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_114.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_115.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_115.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_116.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_116.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_117.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_117.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_118.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_118.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_119.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_119.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_12.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_12.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_120.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_120.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_121.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_121.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_122.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_122.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_123.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_123.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_124.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_124.npy
E:\MedicalData\HVSMR2016\traindata/Image/0_125.npy,E:\MedicalData\HVSMR2016\traindata/Mask/0_125.npy
